Year,lat,lon,Depth,eDNA,SA
2019,66.875,-15.75,0-100,1.03497732197866e-4,0
2019,66.875,-15.75,101-300,6.9598012487404e-5,0
2019,66.875,-15.75,301,0,0
2019,66.875,-18.75,0-100,2.0491765479846452e-4,0
2019,66.875,-18.75,101-300,0,0
2019,66.875,-18.75,301,0,0
2019,67.375,-13.75,0-100,0,0
2019,67.375,-13.75,101-300,0,0
2019,67.375,-13.75,301,0,0
2019,67.125,-16.75,0-100,9.72721900325268e-5,0
2019,67.125,-16.75,101-300,1.28828923353197e-4,0
2019,67.875,-16.25,0-100,1.110794570801469e-4,0
2019,67.875,-16.25,101-300,3.08950996744291e-4,0
2019,67.875,-16.25,301,0.00297386036254466,0
2019,67.625,-17.75,0-100,7.396346313726099e-5,0
2019,67.625,-17.75,101-300,6.58927656331798e-5,0
2019,67.625,-17.75,301,9.00877203093842e-5,0
2019,68.125,-16.25,0-100,2.7554040813508173e-4,0
2019,68.125,-16.25,101-300,6.79801994313796e-4,0
2019,68.125,-16.25,301,6.46652396767422e-5,0
2019,68.125,-17.75,0-100,5.281601894845759e-4,0
2019,68.125,-17.75,101-300,0.00203789145840953,0
2019,68.125,-17.75,301,0,0
2019,68.875,-18.25,0-100,9.225094107326488e-4,0
2019,68.875,-18.25,101-300,2.5102327587471e-4,0
2019,68.875,-18.25,301,7.90278097459426e-4,0
2019,69.125,-15.75,0-100,7.87456582050557e-5,0
2019,69.125,-15.75,101-300,0,0
2019,69.125,-15.75,301,3.85065613954794e-5,0
2019,69.125,-17.25,0-100,3.1911969108478e-4,0
2019,69.125,-17.25,101-300,5.77180384425446e-4,0
2019,69.125,-17.25,301,2.09650441926594e-4,0
2019,69.625,-21.75,0-100,1.408254155066401e-4,0
2019,69.625,-21.75,101-300,1.46348756970838e-4,0
2019,69.625,-21.75,301,1.77185344606793e-4,0
2019,70.125,-13.75,0-100,2.6226918635075e-5,0
2019,70.125,-13.75,101-300,0,0
2019,70.125,-13.75,301,0,0
2019,70.125,-16.25,0-100,0,0
2019,70.125,-16.25,101-300,0,0
2019,70.125,-16.25,301,0,0
2019,70.125,-17.75,0-100,5.732686122428279e-5,0
2019,70.125,-17.75,101-300,0,0
2019,70.125,-17.75,301,1.43393786856905e-4,0
2019,70.125,-18.75,0-100,0.00209412561283291,52014.94
2019,70.125,-18.75,101-300,6.689867974879846e-4,12965.68
2019,70.125,-18.75,301,0.00216161911036275,0
2019,70.125,-19.25,0-100,2.914641772804314e-4,0
2019,70.125,-19.25,101-300,3.79083954840098e-5,0
2019,70.125,-19.25,301,4.45043900981545e-4,0
2019,70.125,-20.25,0-100,0.00207506869774694,0
2019,70.125,-20.25,101-300,1.35634085381753e-4,0
2019,70.125,-20.25,301,1.03595582459093e-5,0
2019,70.125,-21.25,0-100,5.784249575905661e-4,0
2019,70.125,-21.25,101-300,6.39663388331731e-4,0
2019,70.125,-21.25,301,6.23715129525711e-4,0
2019,70.375,-22.25,0-100,6.604674759576784e-5,0
2019,70.375,-22.25,101-300,2.2946520766709e-4,0
2019,70.375,-22.25,301,0.00120211759349331,0
2019,70.125,-22.25,0-100,4.641831034556768e-4,0
2019,70.125,-22.25,101-300,3.5573599870986083e-4,0
2019,70.125,-22.25,301,0.00122877936034153,0
2019,70.625,-18.25,0-100,3.240199099915721e-4,0
2019,70.625,-18.25,101-300,5.56188121360416e-4,0
2019,70.625,-18.25,301,1.53018519389055e-4,0
2019,70.625,-19.25,0-100,4.979334738285008e-4,0
2019,70.625,-19.25,101-300,2.6371042865018e-4,0
2019,70.625,-19.25,301,3.76299237056325e-4,0
2019,70.625,-21.25,0-100,0.00238123139964348,0
2019,70.625,-21.25,101-300,1.07002168078907e-4,0
2019,71.125,-9.75,0-100,0,0
2019,71.125,-9.75,101-300,0,0
2019,71.125,-9.75,301,0,0
2019,71.125,-13.25,0-100,6.02344298386015e-5,0
2019,71.125,-13.25,101-300,2.51624110703119e-5,0
2019,71.125,-13.25,301,2.01401759113651e-4,0
2019,71.125,-15.25,0-100,8.533009895472779e-5,0
2019,71.125,-15.25,101-300,0,0
2019,71.125,-15.25,301,0,0
2019,71.375,-18.25,0-100,4.4066415193810783e-4,0
2019,71.375,-18.25,101-300,1.32632601889782e-4,0
2019,71.375,-18.25,301,2.34140534303151e-5,0
2019,71.375,-21.25,0-100,4.7201873409600625e-4,0
2019,71.375,-21.25,101-300,4.73324534444449e-4,0
2019,71.875,-9.25,0-100,1.58179027494043e-5,0
2019,71.875,-9.25,101-300,8.6308948690809e-5,0
2019,71.875,-9.25,301,3.0679332606572e-4,0
2019,71.875,-14.25,0-100,4.44858560513239e-5,0
2019,71.875,-14.25,101-300,0,0
2019,71.875,-14.25,301,3.18056963806157e-5,0
2019,72.125,-12.25,0-100,1.94303547687014e-5,0
2019,72.125,-12.25,101-300,1.81084997166181e-5,0
2019,72.125,-12.25,301,2.56065541179851e-5,0
2019,72.125,-16.25,0-100,2.6181933511300803e-4,0
2019,72.125,-16.25,101-300,1.13702273665695e-4,0
2019,72.125,-16.25,301,2.40292524722463e-5,0
2019,72.125,-17.75,0-100,0.00119991845391117,0
2019,72.125,-17.75,101-300,0.00182113229917983,0
2019,72.125,-17.75,301,8.50615380234861e-4,0
2019,72.125,-18.75,0-100,0.00101828994290068,0
2019,72.125,-18.75,101-300,0.00428131450219855,0
2019,72.125,-18.25,0-100,6.32142822723835e-4,0
2019,72.125,-18.25,101-300,7.80294476498966e-6,0
2019,72.125,-18.25,301,2.04927971935831e-4,0
2019,72.125,-20.25,0-100,7.825514985597694e-4,0
2019,72.125,-20.25,101-300,7.76829343521968e-4,0
2019,72.125,-21.75,0-100,5.898933492668832e-4,0
2019,72.125,-21.75,101-300,2.78411513136234e-4,0
2019,72.125,-21.75,301,9.26320465926741e-5,0
2019,72.125,-22.75,0-100,1.6383838260480824e-4,0
2019,72.125,-22.75,101-300,6.48033221750666e-7,0
2019,72.625,-15.75,0-100,5.294986294757113e-5,0
2019,72.625,-15.75,101-300,7.17198199708946e-5,0
2019,72.625,-15.75,301,0,0
2019,72.625,-19.25,0-100,5.940995151831883e-5,0
2019,72.625,-19.25,101-300,0,0
2019,72.625,-19.25,301,0,0
2019,73.375,-14.75,0-100,9.92848381429212e-5,0
2019,73.375,-14.75,101-300,0.00101911621944358,0
2019,73.375,-14.75,301,0,0
2019,73.125,-18.25,0-100,4.371359871981901e-4,0
2019,73.125,-18.25,101-300,4.13191155530512e-5,0
2019,73.125,-18.25,301,4.12693237497782e-4,0
2019,74.125,-12.25,0-100,0.00607661745929515,0
2019,74.125,-12.25,101-300,1.70073619301547e-4,0
2019,74.125,-12.25,301,0,0
2019,74.125,-13.75,0-100,3.312753566812414e-4,0
2019,74.125,-13.75,101-300,0,0
2019,74.125,-13.75,301,4.43241697212216e-5,0
2019,74.375,-14.75,0-100,1.72451752102158e-4,0
2019,74.375,-14.75,101-300,2.38942076975945e-4,0
2019,74.375,-14.25,0-100,2.386237313961219e-4,0
2019,74.375,-14.25,101-300,0,0
2019,74.375,-14.25,301,0.00177508084258686,0
2019,74.125,-15.25,0-100,9.14287247724133e-5,0
2019,74.125,-15.25,101-300,0,0
2019,74.625,-11.75,0-100,0,0
2019,74.625,-11.75,101-300,2.85933666115549e-4,0
2019,74.625,-11.75,301,1.61066520377062e-4,0
2020,67.625,-25.25,0-100,0.00251069820478733,79759.63
2020,67.625,-25.25,101-300,5.0380917188401e-4,29.119999999999997
2020,67.625,-25.25,301,8.76329004919777e-4,0
2020,68.125,-24.75,0-100,5.750545533373961e-4,1060.65
2020,68.125,-24.75,101-300,9.19187887726972e-4,6558.04
2020,68.125,-24.75,301,6.17688056081533e-4,0
2020,68.375,-25.25,0-100,0.00276357109214586,101.02
2020,68.375,-25.25,101-300,2.66843157684586e-4,4741.1
